time,viewers,date,channels,name,id,rownum,星期
20:00:00,121675,2018-04-30,3083,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,3,2
20:00:00,115456,2018-04-30,2573,League of Legends,2,4,2
20:00:00,55999,2018-04-30,922,IRL,29791,5,2
20:00:00,48851,2018-04-30,473,Hearthstone,5,6,2
20:00:00,35401,2018-04-30,11,Tricky Towers,25902,7,2
20:00:00,30457,2018-04-30,723,Grand Theft Auto V,24,8,2
20:00:00,25374,2018-04-30,1419,World of Warcraft,79,9,2
20:00:00,23665,2018-04-30,1584,Counter-Strike: Global Offensive,3,10,2
20:00:00,414458,2018-05-01,15964,Fortnite,8375,1,3
20:00:00,115232,2018-05-01,2445,League of Legends,2,2,3
20:00:00,71222,2018-05-01,2667,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,3,3
20:00:00,51018,2018-05-01,415,Hearthstone,5,4,3
20:00:00,50770,2018-05-01,784,Dota 2,6,5,3
20:00:00,44404,2018-05-01,865,IRL,29791,6,3
20:00:00,40915,2018-05-01,629,Grand Theft Auto V,24,7,3
20:00:00,31477,2018-05-01,242,The Forest,269,8,3
20:00:00,29254,2018-05-01,1268,Counter-Strike: Global Offensive,3,9,3
20:00:00,29150,2018-05-01,1684,Overwatch,7410,10,3
20:00:00,261999,2018-05-02,13390,Fortnite,8375,1,4
20:00:00,123721,2018-05-02,2378,League of Legends,2,2,4
20:00:00,97304,2018-05-02,860,IRL,29791,3,4
20:00:00,92898,2018-05-02,2637,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,4,4
20:00:00,60451,2018-05-02,722,Dota 2,6,5,4
20:00:00,54239,2018-05-02,640,Grand Theft Auto V,24,6,4
20:00:00,52087,2018-05-02,467,Hearthstone,5,7,4
20:00:00,34568,2018-05-02,12,Tricky Towers,25902,8,4
20:00:00,29455,2018-05-02,1999,World of Warcraft,79,9,4
20:00:00,26864,2018-05-02,1271,Counter-Strike: Global Offensive,3,10,4
20:00:00,327890,2018-05-03,13365,Fortnite,8375,1,5
20:00:00,147018,2018-05-03,2473,League of Legends,2,2,5
20:00:00,100282,2018-05-03,3149,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,3,5
20:00:00,69614,2018-05-03,889,IRL,29791,4,5
20:00:00,50834,2018-05-03,432,Hearthstone,5,5,5
20:00:00,37584,2018-05-03,753,Dota 2,6,6,5
20:00:00,32481,2018-05-03,641,Grand Theft Auto V,24,7,5
20:00:00,30541,2018-05-03,1275,Counter-Strike: Global Offensive,3,8,5
20:00:00,26925,2018-05-03,1803,World of Warcraft,79,9,5
20:00:00,26716,2018-05-03,1491,Overwatch,7410,10,5
20:00:00,303545,2018-05-04,14974,Fortnite,8375,1,6
20:00:00,115446,2018-05-04,2512,League of Legends,2,2,6
20:00:00,93691,2018-05-04,3040,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,3,6
20:00:00,77787,2018-05-04,1005,IRL,29791,4,6
20:00:00,50709,2018-05-04,1526,Counter-Strike: Global Offensive,3,5,6
20:00:00,46374,2018-05-04,409,Hearthstone,5,6,6
20:00:00,44647,2018-05-04,729,Dota 2,6,7,6
20:00:00,30922,2018-05-04,709,Grand Theft Auto V,24,8,6
20:00:00,29910,2018-05-04,516,FIFA 18,31815,9,6
20:00:00,29875,2018-05-04,248,The Forest,269,10,6
20:00:00,268495,2018-05-05,16983,Fortnite,8375,1,7
20:00:00,133621,2018-05-05,2719,League of Legends,2,2,7
20:00:00,88181,2018-05-05,1036,IRL,29791,3,7
20:00:00,70073,2018-05-05,1027,World of Warcraft,79,4,7
20:00:00,62254,2018-05-05,978,Dota 2,6,5,7
20:00:00,52952,2018-05-05,2963,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,6,7
20:00:00,52267,2018-05-05,1750,Overwatch,7410,7,7
20:00:00,51100,2018-05-05,1433,Counter-Strike: Global Offensive,3,8,7
20:00:00,41986,2018-05-05,408,Rocket League,14,9,7
20:00:00,34118,2018-05-05,165,For Honor,15171,10,7
20:00:00,208022,2018-05-06,16859,Fortnite,8375,1,1
20:00:00,133908,2018-05-06,2540,League of Legends,2,2,1
20:00:00,69906,2018-05-06,1558,World of Warcraft,79,3,1
20:00:00,67963,2018-05-06,2995,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,4,1
20:00:00,57376,2018-05-06,1748,Overwatch,7410,5,1
20:00:00,56942,2018-05-06,405,Rocket League,14,6,1
20:00:00,54400,2018-05-06,374,Hearthstone,5,7,1
20:00:00,51779,2018-05-06,936,IRL,29791,8,1
20:00:00,46946,2018-05-06,1373,Counter-Strike: Global Offensive,3,9,1
20:00:00,41896,2018-05-06,677,Grand Theft Auto V,24,10,1
20:00:00,312269,2018-05-07,12808,Fortnite,8375,1,2
20:00:00,135239,2018-05-07,2572,League of Legends,2,2,2
20:00:00,119533,2018-05-07,2808,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,3,2
20:00:00,63032,2018-05-07,414,Hearthstone,5,4,2
20:00:00,48422,2018-05-07,769,Dota 2,6,5,2
20:00:00,41727,2018-05-07,662,Grand Theft Auto V,24,6,2
20:00:00,36829,2018-05-07,1293,Counter-Strike: Global Offensive,3,7,2
20:00:00,35770,2018-05-07,877,IRL,29791,8,2
20:00:00,31764,2018-05-07,12,Tricky Towers,25902,9,2
20:00:00,30837,2018-05-07,1408,World of Warcraft,79,10,2
20:00:00,348125,2018-05-08,12396,Fortnite,8375,1,3
20:00:00,114871,2018-05-08,2355,League of Legends,2,2,3
20:00:00,87448,2018-05-08,2700,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,3,3
20:00:00,71984,2018-05-08,920,IRL,29791,4,3
20:00:00,69436,2018-05-08,867,Dota 2,6,5,3
20:00:00,68704,2018-05-08,682,Conan Exiles,28449,6,3
20:00:00,59203,2018-05-08,371,Hearthstone,5,7,3
20:00:00,44788,2018-05-08,4991,Destiny 2,33627,8,3
20:00:00,40193,2018-05-08,1410,Overwatch,7410,9,3
20:00:00,33713,2018-05-08,1333,Counter-Strike: Global Offensive,3,10,3
20:00:00,283759,2018-05-09,13839,Fortnite,8375,1,4
20:00:00,123048,2018-05-09,2525,League of Legends,2,2,4
20:00:00,84924,2018-05-09,1602,Overwatch,7410,3,4
20:00:00,84375,2018-05-09,85,Radical Heights,41979,4,4
20:00:00,71301,2018-05-09,903,IRL,29791,5,4
20:00:00,55509,2018-05-09,2594,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,6,4
20:00:00,47701,2018-05-09,161,Deathgarden,41879,7,4
20:00:00,43120,2018-05-09,373,Hearthstone,5,8,4
20:00:00,43049,2018-05-09,932,Dota 2,6,9,4
20:00:00,41761,2018-05-09,1397,Counter-Strike: Global Offensive,3,10,4
20:00:00,307525,2018-05-10,13914,Fortnite,8375,1,5
20:00:00,113628,2018-05-10,2534,League of Legends,2,2,5
20:00:00,98829,2018-05-10,942,IRL,29791,3,5
20:00:00,60156,2018-05-10,2623,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,4,5
20:00:00,60088,2018-05-10,168,Darwin Project,34483,5,5
20:00:00,60037,2018-05-10,844,Dota 2,6,6,5
20:00:00,49672,2018-05-10,332,Hearthstone,5,7,5
20:00:00,43359,2018-05-10,1614,Overwatch,7410,8,5
20:00:00,42598,2018-05-10,761,Grand Theft Auto V,24,9,5
20:00:00,30038,2018-05-10,1309,Counter-Strike: Global Offensive,3,10,5
20:00:00,937,2018-05-11,111,Diablo III: Reaper of Souls,32,1,6
20:00:00,903,2018-05-11,1,Sportsfriends,2747,2,6
20:00:00,893,2018-05-11,103,Tom Clancy's The Division,14221,3,6
20:00:00,892,2018-05-11,88,Monster Hunter World,34285,4,6
20:00:00,875,2018-05-11,3,Crossing Souls,20870,5,6
20:00:00,873,2018-05-11,79,Guild Wars 2,49,6,6
20:00:00,860,2018-05-11,160,NBA 2K18,31388,7,6
20:00:00,854,2018-05-11,63,Dragon Ball FighterZ,34280,8,6
20:00:00,834,2018-05-11,31,Football Manager 2018,36977,9,6
20:00:00,832,2018-05-11,23,Diablo II: Lord of Destruction,366,10,6
20:00:00,270562,2018-05-12,17286,Fortnite,8375,1,7
20:00:00,126849,2018-05-12,2651,League of Legends,2,2,7
20:00:00,85673,2018-05-12,1107,IRL,29791,3,7
20:00:00,77773,2018-05-12,335,Hearthstone,5,4,7
20:00:00,59553,2018-05-12,1093,Dota 2,6,5,7
20:00:00,46020,2018-05-12,2954,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,6,7
20:00:00,45938,2018-05-12,988,World of Warcraft,79,7,7
20:00:00,35195,2018-05-12,1503,Counter-Strike: Global Offensive,3,8,7
20:00:00,31121,2018-05-12,788,Grand Theft Auto V,24,9,7
20:00:00,28000,2018-05-12,1825,Overwatch,7410,10,7
20:00:00,309786,2018-05-13,15191,Fortnite,8375,1,1
20:00:00,137992,2018-05-13,2550,League of Legends,2,2,1
20:00:00,93065,2018-05-13,295,Hearthstone,5,3,1
20:00:00,61333,2018-05-13,2743,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,4,1
20:00:00,60315,2018-05-13,1325,Counter-Strike: Global Offensive,3,5,1
20:00:00,57295,2018-05-13,873,IRL,29791,6,1
20:00:00,50245,2018-05-13,745,Grand Theft Auto V,24,7,1
20:00:00,50227,2018-05-13,834,Dota 2,6,8,1
20:00:00,48572,2018-05-13,1679,Overwatch,7410,9,1
20:00:00,31422,2018-05-13,12,Lake Ridden,42798,10,1
20:00:00,396377,2018-05-14,13391,Fortnite,8375,1,2
20:00:00,127565,2018-05-14,2722,League of Legends,2,2,2
20:00:00,81745,2018-05-14,48,State of Decay 2,30601,3,2
20:00:00,70065,2018-05-14,949,IRL,29791,4,2
20:00:00,61481,2018-05-14,2638,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,5,2
20:00:00,53461,2018-05-14,846,Dota 2,6,6,2
20:00:00,47973,2018-05-14,741,Grand Theft Auto V,24,7,2
20:00:00,47966,2018-05-14,372,Hearthstone,5,8,2
20:00:00,45433,2018-05-14,1571,Overwatch,7410,9,2
20:00:00,34011,2018-05-14,1278,Counter-Strike: Global Offensive,3,10,2
20:00:00,248621,2018-05-15,12927,Fortnite,8375,1,3
20:00:00,124922,2018-05-15,2536,League of Legends,2,2,3
20:00:00,90414,2018-05-15,2560,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,3,3
20:00:00,88891,2018-05-15,948,IRL,29791,4,3
20:00:00,65183,2018-05-15,365,Hearthstone,5,5,3
20:00:00,53460,2018-05-15,1260,Counter-Strike: Global Offensive,3,6,3
20:00:00,46458,2018-05-15,63,Hunt: Showdown,37840,7,3
20:00:00,45833,2018-05-15,854,Dota 2,6,8,3
20:00:00,45730,2018-05-15,33,State of Decay 2,30601,9,3
20:00:00,42079,2018-05-15,758,Grand Theft Auto V,24,10,3
20:00:00,226764,2018-05-16,13437,Fortnite,8375,1,4
20:00:00,128999,2018-05-16,2591,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,2,4
20:00:00,123003,2018-05-16,2606,League of Legends,2,3,4
